,💪  WORKOUT PLUS STATUS  —  GYM EDITION  (MAX HYPERTROPHY),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Max,,,,Max,,,,Max,,,,,,,,Max,,,,Max,,,,Max,
,Sunday - PUSH,,,,Monday - PULL,,,,Tuesday - LEGS,,,,Wednesday - REST,,,,Thursday - LEGS,,,,Friday - PUSH,,,,Saturday - LEGS,,
,Exercise,Reps,Weight (kg),,Exercise,Reps,Weight (kg),,Exercise,Reps,Weight (kg),,REST,,,,Exercise,Reps,Weight (kg),,Exercise,Reps,Weight (kg),,Exercise,Reps,Weight (kg)
,Flat Barbell Bench Press 🔁,12,30kg,,Pull-Ups 🔁,8,BW,,Barbell Back Squat 🔁,13,40kg,,🚶 Walk 20-30 min,,,,Barbell Back Squat 🔁,13,40kg,,Flat Barbell Bench Press 🔁,12,30kg,,Barbell Back Squat 🔁,13,40kg
,,10,40kg,,,6,BW,,,10,45kg,,🧘 Mobility Work,,,,,10,45kg,,,12,40kg,,,10,45kg
,,10,40kg,,,6,BW,,,9,50kg,,🤸 Stretching,,,,,9,50kg,,,12,40kg,,,9,50kg
,,9,50kg,,,,,,,8,55kg,,😴 Rest & Recover,,,,,8,55kg,,,10,45kg,,,8,55kg
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incline Barbell Bench Press 🔁,12,30kg,,Barbell Bent-Over Rows,8,40kg,,Bulgarian Split Squat (BB),9,35kg,,,,,,Bulgarian Split Squat (BB),9,35kg,,Incline Barbell Bench Press 🔁,9,40kg,,Bulgarian Split Squat (BB),9,35kg
,,8,40kg,,,10,35kg,,,9,35kg,,,,,,,9,35kg,,,9,42.5kg,,,9,35kg
,,9,42.5kg,,,,35kg,,,9,30kg,,,,,,,9,30kg,,,4,45kg,,,9,30kg
,,6,45kg,,,,,,,8,32.5kg,,,,,,,8,32.5kg,,,8,42.5kg,,,8,32.5kg
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cable Chest Fly (Low→High) 🔁,,8B,,Seated Cable Row (Wide Grip) 🔁,15,10B,,Barbell Romanian Deadlift,12,50kg,,,,,,Barbell Romanian Deadlift,12,50kg,,Pec Deck / Machine Fly 🔁,,8B,,Barbell Romanian Deadlift,12,50kg
,,,9B,,,12,10B,,,10,55kg,,,,,,,10,55kg,,,,9B,,,10,55kg
,,,9B,,,10,11B,,,9,60kg,,,,,,,9,60kg,,,,9B,,,9,60kg
,,,10B,,,9,11B,,,8,65kg,,,,,,,8,65kg,,,,10B,,,8,65kg
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seated Machine OHP 🔁,,40kg,,Supinated Lat Pulldown 🔁,10,34kg,,Leg Press (Machine) 🔁,15,80kg,,,,,,Leg Press (Machine) 🔁,15,80kg,,Seated Machine OHP 🔁,12,8kg,,Leg Press (Machine) 🔁,15,80kg
,,,45kg,,,8,32kg,,,12,100kg,,,,,,,12,100kg,,,8,10kg,,,12,100kg
,,,45kg,,,8,32kg,,,10,110kg,,,,,,,10,110kg,,,12,12kg,,,10,110kg
,,,50kg,,,,,,,8,120kg,,,,,,,8,120kg,,,,,,,8,120kg
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dumbbell Lateral Raises,12,5kg,,Incline Dumbbell Curl 🔁,12,9kg,,Leg Extensions,12,5B,,,,,,Leg Extensions,12,3B,,Dumbbell Lateral Raises,12,7kg,,Leg Extensions,12,3B
,,12,6kg,,,7,9kg,,,10,5B,,,,,,,10,4B,,,8,7kg,,,10,4B
,,10,7.5kg,,,5,9kg,,,10,5B,,,,,,,10,4B,,,,7kg,,,10,4B
,,10,10kg,,,,,,,10,6B,,,,,,,10,5B,,,,,,,10,5B
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Triceps Rope Pushdown 🔁,12,6B,,Hammer Curl (Seated DB),10,10kg,,Seated Leg Curl (Machine) 🔁,12,5B,,,,,,Seated Leg Curl (Machine) 🔁,12,5B,,Triceps Rope Pushdown 🔁,12,17kg,,Seated Leg Curl (Machine) 🔁,12,5B
,,10,6B,,,8,10kg,,,10,6B,,,,,,,10,5B,,,12,19kg,,,10,5B
,,8,7B,,,7,10kg,,,10,6B,,,,,,,10,5B,,,10,21kg,,,10,6B
,,6,7B,,,6,12kg,,,10,6B,,,,,,,8,6B,,,,,,,8,6B
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overhead EZ-Bar Triceps Ext 🔁,12,20kg,,Face Pulls (Cable) 🔁,15,7B,,Cable Crunch 🔁,15,8B,,,,,,Back Extension (Hyperext.) 🔁,12,BW,,Overhead EZ-Bar Triceps Ext 🔁,12,20kg,,Rear Delt Fly (Cable/Machine) 🔁,15,5B
,,10,22kg,,,12,7B,,,12,9B,,,,,,,10,BW+5,,,10,22kg,,,12,5B
,,9,22kg,,,12,8B,,,12,9B,,,,,,,10,BW+5,,,9,22kg,,,12,6B
,,8,25kg,,,10,8B,,,10,10B,,,,,,,8,BW+10,,,8,22kg,,,10,6B
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Plank,75s,—,,,,,,Plank,75s,—,,,,,,Plank,75s,—
,,,,,,,,,,52s,—,,,,,,,52s,—,,,,,,,52s,—
,,,,,,,,,,44s,—,,,,,,,44s,—,,,,,,,44s,—
,,,,,,,,,,60s,—,,,,,,,60s,—,,,,,,,60s,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🔁 = Upgraded from home → gym  |  B = cable block  |  BW = bodyweight  |  🔵 Reps  |  🟢 Weight,,,,,,,,,,,,,,,,,,,,,,,,,,